variant_id,family,quantization,strict_pass_percent,semantic_pass_percent,format_tax_points,ci_95_low,ci_95_high,peak_memory_gib,decode_tokens_per_second,main_run_minutes,n
llama-3.1-8b-q4,llama3.1,Q4,41.388888888888886,43.333333333333336,1.9444444444444444,36.41813431356028,46.54147666618944,6.804229736328125,34.34215275918025,33.4580328215224,360
llama-3.1-8b-q8,llama3.1,Q8,43.611111111111114,44.72222222222222,1.1111111111111112,38.582612599292446,48.774518127618634,9.95892333984375,23.258723592924827,39.20046908749888,360
qwen3-8b-q4,qwen3,Q4,53.333333333333336,55.833333333333336,2.5,48.171828362303856,58.424451258438204,7.1302642822265625,33.43605215263843,27.583815481249864,360
qwen3-8b-q8,qwen3,Q8,53.333333333333336,54.72222222222223,1.3888888888888888,48.171828362303856,58.424451258438204,10.303070068359375,22.22683912799603,38.37302334861985,360
mistral-7b-v0.3-q4,mistral,Q4,13.88888888888889,28.888888888888886,15.0,10.696265193512932,17.84403891511493,6.165252685546875,38.60572566697086,30.72168506250406,360
mistral-7b-v0.3-q8,mistral,Q8,13.61111111111111,26.111111111111114,12.5,10.450975723748163,17.539638416484525,9.181365966796875,25.29011178150074,46.58029768403309,360
granite-3.3-8b-q4,granite,Q4,40.27777777777778,42.77777777777778,2.5,35.33981901166906,45.42103209449998,7.2085113525390625,31.59260319975915,25.199326762502704,360
granite-3.3-8b-q8,granite,Q8,41.11111111111111,44.44444444444444,3.3333333333333335,36.14830814566615,46.2616128656884,10.533416748046875,20.513621261317507,36.60222542639822,360
qwen2.5-coder-7b-q4,qwen2.5-coder,Q4,49.72222222222222,53.333333333333336,3.6111111111111107,44.587613175765625,54.8626968558392,5.486846923828125,39.64439799762146,19.092712756952583,360
qwen2.5-coder-7b-q8,qwen2.5-coder,Q8,51.388888888888886,54.72222222222223,3.3333333333333335,46.238566187037264,56.509883654938584,8.604095458984375,28.239871848127017,23.925584532654224,360
