series,family,constraint_count,strict_pass_percent,semantic_pass_percent,strict_ci_low,strict_ci_high,semantic_ci_low,semantic_ci_high,n
overall,all,1,52.916666666666664,67.91666666666667,46.60550477330597,59.135930693701624,61.76863093160275,73.50018693715806,240
overall,all,2,31.666666666666664,48.75,26.109707969494426,37.8012690950294,42.49589194528996,55.04349285456392,240
overall,all,3,11.666666666666666,30.833333333333336,8.196258984100718,16.34487487808546,25.331095649654117,36.93947128143897,240
overall,all,4,9.583333333333334,22.916666666666664,6.470910926010454,13.969197602598888,18.050771083268888,28.635899580232216,240
