panel,group,strict_pass_percent,semantic_pass_percent,format_tax_points,n
workload,applied_reasoning,43.75,45.3125,1.5625,960
workload,code_debug_repair,33.75,36.5625,2.8125,1600
workload,messy_text_to_schema,38.645833333333336,38.645833333333336,0.0,960
workload,constraint_load_curve,26.458333333333332,42.604166666666664,16.145833333333332,960
workload,tool_use,65.83333333333333,65.83333333333333,0.0,960
workload,email_to_action,7.5,7.5,0.0,800
workload,long_text_retrieval,62.39583333333333,73.64583333333333,11.25,960
family,llama3.1,42.083333333333336,43.541666666666664,1.4583333333333286,1440
family,qwen3,52.083333333333336,54.166666666666664,2.0833333333333286,1440
family,mistral,13.541666666666666,26.59722222222222,13.055555555555555,1440
family,granite,41.11111111111111,43.68055555555556,2.56944444444445,1440
family,qwen2.5-coder,50.90277777777777,54.166666666666664,3.263888888888893,1440
