family,pass_percent,pass_ci_low,pass_ci_high,within_word_limit_percent,within_ci_low,within_ci_high,critical_error_percent,critical_ci_low,critical_ci_high,n
qwen3,68.33333333333333,59.55213183551314,75.97716539580108,92.5,86.35908239400624,96.00428846040397,23.333333333333332,16.665575133182916,31.655447075814614,120
llama3.1,55.833333333333336,46.90452309131966,64.40025330046214,77.5,69.24310051535484,84.05084533161647,27.500000000000004,20.302896661264853,36.09296582757681,120
qwen2.5-coder,50.0,41.19387054110838,58.80612945889161,71.66666666666667,63.029797546945964,78.95937190824355,32.5,24.775854910601954,41.30981591405268,120
granite,30.833333333333336,23.2727369889163,39.58299772380068,35.0,27.051899590285412,43.878675402275704,28.333333333333332,21.040628091756453,36.970202453054036,120
mistral,13.333333333333334,8.37660896268731,20.564796574684287,20.0,13.824476478840255,28.03667350628196,32.5,24.775854910601954,41.30981591405268,120
